,message,label
24491,How do I change the time on my phone's clock?,0
33575,I want to cancel my insurance ,0
24649,My home,0
27336,I have a screen in a phone on my plan I have insurance on it where do they fix same day service ,0
40666,im trying to locate a missing/stolen phone but safe and found is saying try again later. If i cannot locate the lhone im trying to atleast get the photos from that phonr over to tjis kne since they go back 6 years,0
41433,I was on the phone with the number you gave me and got cut off,0
10398,"My wife's phone is having multiple issues related to connectivity.  If she tries to make a call it takes several tries before it dials; after a few minutes on the call it disconnects; when outside the house it tells her there's no network connection even when she has all bars; in the house she has trouble sending text messages - tells her no network.  I've reset the network, updated software, updated PRL and updated Profile.  Nothing helped",0
29574,I want to have some Internet on my phone,0
31529,My callers cannot hear me and the call disconnects by itself,0
12518,would i be able to get get pay off for one of my phones,0
11946,How do I get all of my info into the new device ,0
38826,Photos disappeared ,0
24153,My phone is not coming on all I see is the apple ,0
21393,Hi ,0
24860,need to cancel insurance,0
41563,I need to cancel insurance ,0
37117,Hi sorry  my zip code is ZIP_CODE ,0
26608,I need the protection plan removed ,0
23264,thank you,0
758,I damaged my iPhone 11 .... the screen is cracked in the top left corner and the screen is black in that corner,0
29487,We currently carry insurance for the phones on all 3 of our lines.  I would like to cancel the cost of all insurance being charged to my account.,0
40719,I cannot get sprint drive to work in my car.,0
13155,hello,0
29858,Looks like I have been charged twice this month. ,0
23799,I just upgraded my husbands cell. We en,0
7897,Can i cancel the insurance on my phone please,0
13163,"I'm running out of storage!
How can i free up more",0
18551,My phone volume is very low when talking ,0
35458,"Hi, I want to remove sprint complete from my plan",0
9098,"Hey Tech Expert, I have a question:",0
11552,Dropped my phone in pool what do I do,0
8280,Problem with my keyboard color,0
6054,I just got my Galaxy S10 and I'm trying to get all my data from ,0
1960,I was talking to someone already but thank you ,1
4490,My tablets have no service,0
29370,What is my bill,0
2231,"Reset voicemail pin
",0
11806,Why can i no longer call out,0
11335,My connection is really  slow it happ,0
25399,I want to call new zeland ,0
21287,good by!,0
11038,I wish to cancel my sprint complete on the SSN3 line,0
24135,I need a battery replacement ,0
38123,How do I screen record,0
26209,Why doesn't my phone have service?,0
22646,Hi... I cannot send text messages. Help!!!,0
14908,How do I extend my bill due to covid19 ,0
8234,I was told to come here to take off the insurance I did not approve to be added,0
439,I never asked for this sprint complete to be added onto my bill! Please remove this additional charge ASAP! This is absolutely fraud and very Disappointing. An Addison so $32 charge for no reason ,0
4973,I need a case number for my phone not able to send texts,0
25921,Good evening,0
32981,I was told by a Sprint CSR that I had to carry the insurance on my 2 new devices. I spoke to a supervisor a week later and said I did not have to carry it. She said she removed it and it is still showing on the bill. I need these removed please,0
37070,Would like to remove the insurance on DIGIT_REDACTION phone.,0
13432,Hi I added an extra GB and my internet is slow ,0
8619,Hi I was provided this link to remove the insurance off my phone ,0
4795,Sorry I'm back,0
6201,I need to transfer one of the Apple watches to my phone,0
19072,Robert,0
2876,How do i make and appointment to have my phone repaired,0
16894,I need to activate my phone without doing it online my mom is the account holder I don’t have sign in information,0
31580,I week ago I was able to set up a hotspot on my phone when the internet goes out. (I’m working from home due to the pandemic).  But as of yesterday I cannot set up a hotspot.  What has changed?,0
3825,I’d like to remove the sprint complete insurance from the 2 phones on my account ,0
37447,What’s my Hulu account log in,0
37374,"Hey, change of ownsership ",0
37486,Trying to use my phone number on Google pay or Google Play store,0
10384,How do I take a screenshot?,0
35446,How do I find a phone on my account ,0
17774,I have been having trouble with sending & receiving text messages. ,0
